2021-02-15T18:05:52.040Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1
2021-02-15T18:05:52.041Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder StableCoin for Connect
2021-02-15T18:05:52.041Z | Common Extension Root    | TRACE | Connect initialization started on StableCoin
2021-02-15T18:05:52.042Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-15T18:05:52.043Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-15T18:05:52.053Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"e82cbb1f-4564-b33b-abc8-40959374a9e2"}</json>
2021-02-15T18:05:52.054Z | Common Extension Root    | TRACE | Successfully determined the CLI binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/dsc
2021-02-15T18:05:52.055Z | Common Extension Root    | TRACE | Successfully determined the kubectl binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/kubectl/linux/kubectl
2021-02-15T18:06:14.847Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-15T18:06:14.847Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-15T18:06:14.848Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-15T18:06:14.855Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-15T18:06:28.268Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
2021-02-15T18:06:28.272Z | Common Extension Root    | ERROR | Error: kubectl-client-current-context-retrieval-error <stack>Error: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141523)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-15T18:06:28.272Z | Common Extension Root    | WARNG | Encountered error running kubectl: Failed to get the current context from the kubeconfig: No kubeconfig file found at path /home/abinesh/.kube/config
2021-02-15T18:06:33.107Z | Common Extension Root    | TRACE | Event: cli-client-clean-local-connect-success
2021-02-15T18:06:33.108Z | Common Extension Root    | TRACE | Event: binaries-utility-cleanup-before-download-success
2021-02-15T18:06:34.517Z | Common Extension Root    | TRACE | Event: cli-versions-client-get-download-info-success <json>{"availableVersion":"1.0.20210126.4","expectedVersion":"1.0.20210126.1"}</json>
2021-02-15T18:06:34.518Z | Common Extension Root    | TRACE | Event: cli-version-client-get-download-info-status <json>{"binariesVersionsDownloadTimeInMilliseconds":1407,"binariesVersionsDownloadSucceeded":true}</json>
2021-02-15T18:06:34.520Z | Common Extension Root    | TRACE | Event: binaries-utility-download-start
2021-02-15T18:06:50.332Z | Common Extension Root    | TRACE | Event: binaries-utility-download-success
2021-02-15T18:06:50.333Z | Common Extension Root    | TRACE | Event: binaries-utility-overall-download-status <json>{"binariesDownloadTimeInMilliseconds":15814,"binariesDownloadSucceeded":true}</json>
2021-02-15T18:06:52.143Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-15T18:06:52.143Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-15T18:06:52.143Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
